categorie,type,prix,adresse,image_lien,prix_brut,prix_numerique,a_prix,a_image
Vêtements Enfants,Robe Fille,22 800CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4885783_uploaded_image1_1723209095.jpg,22 800CFA,22800.0,True,True
Vêtements Enfants,Vêtements De Garçon,2 500CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4885328_uploaded_image1_1723192813.jpg,2 500CFA,2500.0,True,True
Vêtements Enfants,Ensemble Pour Garçon,4 500CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4885315_uploaded_image1_1723192524.jpg,4 500CFA,4500.0,True,True
Vêtements Enfants,Pyjama Enfant En Coton,2 000CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4882618_uploaded_image1_1723046965.jpg,2 000CFA,2000.0,True,True
Vêtements Enfants,Cuissards,210CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4881948_uploaded_image1_1723028512.jpg,210CFA,210.0,True,True
Vêtements Enfants,Slips Pour Enfants,7 500CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4811384_uploaded_image1_1719393861.jpg,7 500CFA,7500.0,True,True
Vêtements Enfants,Robe Princesse,17 500CFA,"Hlm, Dakar, Sénégal",https://images.coinafrique.com/thumb_4804290_uploaded_image1_1718982555.jpg,17 500CFA,17500.0,True,True
Vêtements Enfants,Robes Princesse,17 500CFA,"Hlm, Dakar, Sénégal",https://images.coinafrique.com/thumb_4804282_uploaded_image1_1718982396.jpg,17 500CFA,17500.0,True,True
Vêtements Enfants,Ensemble 3  Pièces,15 000CFA,"Hlm, Dakar, Sénégal",https://images.coinafrique.com/thumb_4788092_uploaded_image1_1717977175.jpg,15 000CFA,15000.0,True,True
Vêtements Enfants,Robe Brodé,10 000CFA,"Hlm, Dakar, Sénégal",https://images.coinafrique.com/thumb_4787486_uploaded_image1_1717947693.jpg,10 000CFA,10000.0,True,True
Vêtements Enfants,Couverture Bébé,4 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4782346_uploaded_image1_1717666928.jpg,4 000CFA,4000.0,True,True
Vêtements Enfants,Ensemble Enfant,9 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4773123_uploaded_image1_1717195531.jpg,9 000CFA,9000.0,True,True
Vêtements Enfants,Robe Anniversaire Ou Cérémonie,15 000CFA,"Hlm, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775997_uploaded_image1_1717372054.jpg,15 000CFA,15000.0,True,True
Vêtements Enfants,Robe Pour Anniversaire Ou Cérémonie,15 000CFA,"Hlm, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775993_uploaded_image1_1717371915.jpg,15 000CFA,15000.0,True,True
Vêtements Enfants,Ensemble 5 Pieces,6 000CFA,"Hlm, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775968_uploaded_image1_1717370720.jpg,6 000CFA,6000.0,True,True
Vêtements Enfants,Grenouillère 0 - 9 Mois,5 000CFA,"Hlm, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775960_uploaded_image1_1717370364.jpg,5 000CFA,5000.0,True,True
Vêtements Enfants,Ensemble Bas Large Fille 10 - 14 Ans,12 000CFA,"Hlm, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775932_uploaded_image1_1717369632.jpg,12 000CFA,12000.0,True,True
Vêtements Enfants,Ensemble Coton Fille,5 000CFA,"Hlm, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775892_uploaded_image1_1717367975.jpg,5 000CFA,5000.0,True,True
Vêtements Enfants,Robe Brodé,15 000CFA,"Hlm, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775889_uploaded_image1_1717367795.jpg,15 000CFA,15000.0,True,True
Vêtements Enfants,Robe En Coton 9 - 24 Mois,5 000CFA,"Hlm, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775887_uploaded_image1_1717367631.jpg,5 000CFA,5000.0,True,True
Vêtements Enfants,Robe Coton Fille 2 - 5 Ans,6 000CFA,"Hlm, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775884_uploaded_image1_1717367280.jpg,6 000CFA,6000.0,True,True
Vêtements Enfants,Robes Brodé,10 000CFA,"Hlm, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775869_uploaded_image1_1717366678.jpg,10 000CFA,10000.0,True,True
Vêtements Enfants,Ensemble Bas,5 000CFA,"Hlm, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775865_uploaded_image1_1717366540.jpg,5 000CFA,5000.0,True,True
Vêtements Enfants,Robe Enfant,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4783648_uploaded_image1_1717719693.jpg,Prix sur demande,,False,True
Vêtements Enfants,Vêtement Enfant,5 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4730553_uploaded_image1_1715080309.jpg,5 000CFA,5000.0,True,True
Vêtements Enfants,Vêtements Enfant,8 000CFA,"Hlm, Dakar, Sénégal",https://images.coinafrique.com/thumb_4770789_uploaded_image1_1717088821.jpg,8 000CFA,8000.0,True,True
Vêtements Enfants,Slip Enfant,2 500CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4766856_uploaded_image1_1716912176.jpg,2 500CFA,2500.0,True,True
Vêtements Enfants,Vêtements Enfant,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4750299_uploaded_image1_1716034798.jpg,Prix sur demande,,False,True
Vêtements Enfants,Vêtements Enfant,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4743643_uploaded_image1_1715718710.jpg,Prix sur demande,,False,True
Vêtements Enfants,Djellaba Enfant,12 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4683616_uploaded_image1_1712666779.jpg,12 000CFA,12000.0,True,True
Vêtements Enfants,Djellaba Enfants,15 000CFA,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4682806_uploaded_image1_1712615672.jpg,15 000CFA,15000.0,True,True
Vêtements Enfants,Djellaba Enfants,10 000CFA,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4682804_uploaded_image1_1712615617.jpg,10 000CFA,10000.0,True,True
Vêtements Enfants,Djellaba Enfants,12 500CFA,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4682799_uploaded_image1_1712615352.jpg,12 500CFA,12500.0,True,True
Vêtements Enfants,Ensemble 3 Pièces Enfants,10 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4669732_uploaded_image1_1711987098.jpg,10 000CFA,10000.0,True,True
Vêtements Enfants,Vêtements Enfants,6 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4669723_uploaded_image1_1711986941.jpg,6 000CFA,6000.0,True,True
Vêtements Enfants,Slips Pour Enfants 2 - 8 Ans,6 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4668016_uploaded_image1_1711892538.jpg,6 000CFA,6000.0,True,True
Vêtements Enfants,Vetement  Enfants,10 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4667484_uploaded_image1_1711840999.jpg,10 000CFA,10000.0,True,True
Vêtements Enfants,Robe Enfant,6 000CFA,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4666224_uploaded_image1_1711745782.jpg,6 000CFA,6000.0,True,True
Vêtements Enfants,Ensemble Petit Garçon,9 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4709506_uploaded_image1_1713995931.jpg,9 000CFA,9000.0,True,True
Vêtements Enfants,Ensemble Crop Top,12 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4709483_uploaded_image1_1713995121.jpg,12 000CFA,12000.0,True,True
Vêtements Enfants,Ensemble Maillot De Bain,9 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4709459_uploaded_image1_1713994419.jpg,9 000CFA,9000.0,True,True
