categorie,type,prix,adresse,image_lien,prix_brut,prix_numerique,a_prix,a_image
Chaussures Homme,Chaussures Homme,35 000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5391753_uploaded_image1_1750857199.jpg,35 000CFA,35000.0,True,True
Chaussures Homme,Chaussures Homme,40 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5391598_uploaded_image1_1750852699.jpg,40 000CFA,40000.0,True,True
Chaussures Homme,Chaussures Homme,7 000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5390760_uploaded_image1_1750804520.jpg,7 000CFA,7000.0,True,True
Chaussures Homme,Chaussures Homme,100 000CFA,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5389229_uploaded_image1_1750732912.jpg,100 000CFA,100000.0,True,True
Chaussures Homme,Sandales En Cuir,8 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5388886_uploaded_image1_1750707753.jpg,8 000CFA,8000.0,True,True
Chaussures Homme,Chaussures Zara,30 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5355405_uploaded_image1_1748811936.jpg,30 000CFA,30000.0,True,True
Chaussures Homme,Chaussures Berluti,25 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5355402_uploaded_image1_1748811821.jpg,25 000CFA,25000.0,True,True
Chaussures Homme,Sandales Hermès Pour Hommes,25 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5385859_uploaded_image1_1750532912.jpg,25 000CFA,25000.0,True,True
Chaussures Homme,Chaussures  Air Force,19 000CFA,"Sicap Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5383496_uploaded_image1_1750413096.jpg,19 000CFA,19000.0,True,True
Chaussures Homme,Chaussures Homme,30 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5337086_uploaded_image1_1747753113.jpg,30 000CFA,30000.0,True,True
Chaussures Homme,Chaussures Homme,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5380989_uploaded_image1_1750269170.jpg,Prix sur demande,,False,True
Chaussures Homme,Sandales Croches,17 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5380985_uploaded_image1_1750269013.jpg,17 000CFA,17000.0,True,True
Chaussures Homme,Chaussures Femmes,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5380983_uploaded_image1_1750268930.jpg,Prix sur demande,,False,True
Chaussures Homme,Chaussures Homme,22 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5380977_uploaded_image1_1750268827.jpg,22 000CFA,22000.0,True,True
Chaussures Homme,Sandales Croches,15 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5380962_uploaded_image1_1750268329.jpg,15 000CFA,15000.0,True,True
Chaussures Homme,Baskets Jordan Treize,21 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5379616_uploaded_image1_1750201036.jpg,21 000CFA,21000.0,True,True
Chaussures Homme,Chaussures Tn,13 500CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5371448_uploaded_image1_1749743120.jpg,13 500CFA,13500.0,True,True
Chaussures Homme,Baskets Jordan 4,12 500CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5371443_uploaded_image1_1749742989.jpg,12 500CFA,12500.0,True,True
Chaussures Homme,Baskets Homme,14 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5369353_uploaded_image1_1749639708.jpg,14 000CFA,14000.0,True,True
Chaussures Homme,Chaussures Vans,20 000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5332230_uploaded_image1_1747444488.jpg,20 000CFA,20000.0,True,True
Chaussures Homme,Chaussure Homme,Prix sur demande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5368229_uploaded_image1_1749571634.jpg,Prix sur demande,,False,True
Chaussures Homme,Chaussures Samba,25 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5367274_uploaded_image1_1749513863.jpg,25 000CFA,25000.0,True,True
Chaussures Homme,Chaussures Original,15 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5344646_uploaded_image1_1748182098.jpg,15 000CFA,15000.0,True,True
Chaussures Homme,Chaussures Homme,10 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5332090_uploaded_image1_1747434845.jpg,10 000CFA,10000.0,True,True
Chaussures Homme,Chaussures Homme,Prix sur demande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5332091_uploaded_image1_1747434908.jpg,Prix sur demande,,False,True
Chaussures Homme,Chaussures Homme,16 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5351571_uploaded_image1_1748560945.jpg,16 000CFA,16000.0,True,True
Chaussures Homme,Babouche Hommes,10 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5351566_uploaded_image1_1748560780.jpg,10 000CFA,10000.0,True,True
Chaussures Homme,Chaussures Homme,13 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5351559_uploaded_image1_1748560482.jpg,13 000CFA,13000.0,True,True
Chaussures Homme,Chaussures Homme,18 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5341252_uploaded_image1_1747953598.jpg,18 000CFA,18000.0,True,True
Chaussures Homme,Chaussures Homme,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5357431_uploaded_image1_1748905422.jpg,20 000CFA,20000.0,True,True
Chaussures Homme,Chaussures Homme,18 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5357416_uploaded_image1_1748904881.jpg,18 000CFA,18000.0,True,True
Chaussures Homme,Baskets Vans Knu Skool,25 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5365742_uploaded_image1_1749418905.jpg,25 000CFA,25000.0,True,True
Chaussures Homme,Chaussures Cuir,20 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5330113_uploaded_image1_1747337081.jpg,20 000CFA,20000.0,True,True
Chaussures Homme,Chaussures Homme,9 500CFA,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5365566_uploaded_image1_1749410561.jpg,9 500CFA,9500.0,True,True
Chaussures Homme,Chaussures Homme,13 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5329841_uploaded_image1_1747328617.jpg,13 000CFA,13000.0,True,True
Chaussures Homme,Chaussures Homme,16 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5329838_uploaded_image1_1747328563.jpg,16 000CFA,16000.0,True,True
Chaussures Homme,Chaussures Homme,20 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5339056_uploaded_image1_1747847898.jpg,20 000CFA,20000.0,True,True
Chaussures Homme,Chaussures  Homme,18 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5326073_uploaded_image1_1747152250.jpg,18 000CFA,18000.0,True,True
Chaussures Homme,Chaussures Homme,15 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5320634_uploaded_image1_1746829909.jpg,15 000CFA,15000.0,True,True
Chaussures Homme,Chaussures Homme,Prix sur demande,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5364177_uploaded_image1_1749301086.jpg,Prix sur demande,,False,True
Chaussures Homme,Sandales Orthopédique,17 000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5318493_uploaded_image1_1746728698.jpg,17 000CFA,17000.0,True,True
Chaussures Homme,Baskets Nike Ja 1,20 000CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5362506_uploaded_image1_1749163263.jpg,20 000CFA,20000.0,True,True
Chaussures Homme,Chaussures Wallabess,16 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5314916_uploaded_image1_1746554149.jpg,16 000CFA,16000.0,True,True
Chaussures Homme,Babouche / Bonnet,15 000CFA,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5360403_uploaded_image1_1749049684.jpg,15 000CFA,15000.0,True,True
Chaussures Homme,Sandales Homme,Prix sur demande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5360021_uploaded_image1_1749037309.jpg,Prix sur demande,,False,True
Chaussures Homme,Chaussures Unisexe,14 500CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359386_uploaded_image1_1748994671.jpg,14 500CFA,14500.0,True,True
Chaussures Homme,Baskets Aire Force One,14 500CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359383_uploaded_image1_1748994555.jpg,14 500CFA,14500.0,True,True
Chaussures Homme,Sabot Orthopédique,12 000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5313152_uploaded_image1_1746464722.jpg,12 000CFA,12000.0,True,True
Chaussures Homme,Sandales Orthopédique,10 000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5313151_uploaded_image1_1746464604.jpg,10 000CFA,10000.0,True,True
